"n10l1" "n10l2" "n50l1" "n50l2"
"1" 1.329947 4.738276 0.8677923 1.514811
"2" 1.062761 3.786358 1.88179 3.284837
"3" 1.309 4.6636 1.6678 2.9112
"4" 1.89 6.75 1.87 3.27
"5" 1.760973 1.691558 2.397128 2.354871
"6" 0.7988187 2.845997 1.998603 7.120537
"7" 1.105438 3.938406 1.63306 2.850656
"8" 0.9116709 3.248061 1.575837 2.750769
"9" 0.9648692 3.437626 1.575168 2.749601
"10" 0.000361289 0.001287185 0.416411 7.268837
"11" 1.156323 4.119699 1.503954 2.62529
"12" 1.092344 3.891755 1.625535 2.837521
"13" 0.0195994383290307 0.0698280312250318 1.51677807826069 2.64767556395084
"14" 1.704966 6.074381 1.70871 2.982711
"15" 2.316173 8.25196 1.073208 3.823579
"16" 0.9268295 9.434612 1.910307 1.944587
"17" 1.356 3.926 1.405 2.241
"18" 0.966 3.444 2.45 8.73
"19" 0.7900146 2.81463 1.33685 2.333595
"20" 0.7563705 2.694764 1.364374 2.38164
"21" 0.9810533 3.495254 1.723182 3.007973
"22" 1.3285 4.7334 0.6828 1.5072
"23" 0.7189488 2.56144 1.533511 2.676884
"24" 1.096114 3.905187 1.328262 2.318603
"25" 1.631085 5.811158 1.822739 3.181758
"26" 1.083508 3.860275 1.789446 3.123643
"27" 1.204 2.102 1.46 2.55
"28" 2.19 6.15 2.935 1.682
"29" 0.8655624 3.083788 1.435922 2.506533
"30" 2.1298 7.5878 2.268 8.08
"31" 1.179648 4.2028 1.733363 3.025745
"32" 1.642256 5.85096 1.53605 2.681316
"33" 0.7200283 2.565286 1.784181 3.114452
"34" 0.190402 0.678356 1.4734 2.5721
"35" 1.718777 6.123585 1.726091 3.013051
"36" 0.87931 3.13279 1.40463 5.00439
"37" 0.825443 3.515392 1.893417 3.305133
"38" 0.8045954 2.866578 0.9078024 1.584653
"39" 2.275909 3.607748 2.522503 3.998647
"40" 0.7602918 1.563972 1.542197 2.082392
"41" 1.339232 4.771358 1.524152 2.660547
"42" 2.2451 7.99876 1.737461 3.03289
